conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,88E+18;Wed Jan 08 04:44:08 +0000 2025;8;Langkah tegas @presidenrepublikindonesia dalam memangkas anggaran perjalanan dinas Kementerian dan Lembaga membuktikan komitmen nyata terhadap efisiensi dan keberpihakan pada kepentingan rakyat. https://t.co/3fNZK8l36j;1,88E+18;https://pbs.twimg.com/media/GgvrRyHbkAApOql.jpg;;in;;1;1;2;https://x.com/prabowogibran2/status/1876852363677372819;1,72E+18;prabowogibran2
1,88E+18;Wed Jan 08 04:03:00 +0000 2025;8;Dengan efisiensi Rp 13 triliun Bandara Soekarno-Hatta kini ditingkatkan tanpa perlu pembangunan baru. Kapasitas naik dari 56 juta ke 94 juta penumpang per tahun. Fasilitas lebih modern dan nyaman. Hemat anggaran tetap berkelas dunia. https://t.co/XmEXjvbIbJ;1,88E+18;https://pbs.twimg.com/media/Ggvh3ASacAAwiIy.jpg;;in;;1;15;1;https://x.com/KemenBUMN/status/1876842010809598257;3184723542;KemenBUMN
1,88E+18;Wed Jan 08 03:41:19 +0000 2025;0;Pemangkasan belanja tidak produktif menjadi salah satu faktor pengendalian defisit dalam upaya Kabinet Prabowo untuk efisiensi anggaran.;1,88E+18;;;in;;0;0;0;https://x.com/FelixEmery_/status/1876836554913526167;1,64E+18;FelixEmery_
1,88E+18;Wed Jan 08 03:20:10 +0000 2025;0;Jambi - Mendukung Efisiensi Perencanaan Pengadaan Barang Dan Jasa Tahun Anggaran 2025 Dalam rangka meningkatkan efektivitas dan efisiensi perencanaan pengadaan barang dan jasa pada seluruh satuan kerja keimigrasian di lingkungan Kementerian Imigrasi dan Pemasyarakatan. https://t.co/1rzniroaP4;1,88E+18;https://pbs.twimg.com/media/GgvXv2uaMAEhCDp.jpg;;in;;0;1;0;https://x.com/imigrasi_jambi/status/1876831234459836437;1,74E+18;imigrasi_jambi
1,88E+18;Tue Jan 07 03:38:05 +0000 2025;0;Dirjen Dukcapil Tegaskan Pentingnya Efisiensi Anggaran pada Rapat Awal Tahun 2025 https://t.co/4JE3M9gpnw https://t.co/rJVwvhTluD;1,88E+18;https://pbs.twimg.com/media/GgqSiHha8AA4VKH.png;;in;;0;2;0;https://x.com/ccdukcapil/status/1876473354217284006;8,11E+17;ccdukcapil
1,88E+18;Tue Jan 07 03:30:44 +0000 2025;0;anggaran sebesar 99 7% di tahun 2024. Keberhasilan merupakan hasil kerja keras dan kolaborasi efektif antar unit kerja di Kantah Jaksel. Penataan pegawai juga akan dilakukan dalam minggu ini guna meningkatkan efisiensi operasional serta mendukung percepatan proses pelayanan. https://t.co/a0B52GEQ1v;1,88E+18;https://pbs.twimg.com/media/GgqQ4n-bAAA4lvA.jpg;kantahkotjaksel;in;;0;1;0;https://x.com/kantahkotjaksel/status/1876471504944476462;2906614093;kantahkotjaksel
1,88E+18;Tue Jan 07 02:26:21 +0000 2025;0;Penjabat Gubernur Lampung Samsudin mengajak seluruh pimpinan Organisasi Perangkat Daerah (OPD) Pemerintah Provinsi Lampung 'ngirit' dengan melakukan efisiensi penggunaan anggaran pada 2025. https://t.co/bjyw5iO2Yt;1,88E+18;https://pbs.twimg.com/media/GgqCHrJaMAEzNZR.jpg;;in;;0;1;0;https://x.com/Harian_Pilar/status/1876455300838142134;1,20E+18;Harian_Pilar
1,88E+18;Tue Jan 07 00:23:31 +0000 2025;0;3. Melaksanakan Perjanjian Kinerja secara berjenjang oleh setiap Pejabat Manajerial sebagai pengampu kegiatan;;;;;;;;;;;
1,88E+18;Mon Jan 06 22:01:05 +0000 2025;0;@WidasSatyo Sebetulnya bpjs gak ada hubungannya dengan anggaran instansi lain. Yang penting untuk bpjs itu efisiensi turunkan biaya operasional biaya pegawai dll. Efisiensi pegawai turunkan insentif direksi dan pegawai asuransi pegawai bukan asuransi swas;1,88E+18;;WidasSatyo;in;;0;0;0;https://x.com/enigma8592/status/1876388544887112183;1,64E+18;enigma8592
1,88E+18;Mon Jan 06 15:05:00 +0000 2025;4;Ketua Komisi VIII DPR ungkap faktor yang membuat biaya haji 2025 turun. Ia mengatakan pihaknya dan pemerintah menekankan efisiensi anggaran di tahun ini. https://t.co/D4lc9lWiLP;1,88E+18;;;in;;0;1;0;https://x.com/detikcom/status/1876283834645488021;69183155;detikcom
